"","x"
"1","Today through Saturday is Tribute Days! Come celebrate our 40th anniversary with us. Stop by a Starbucks between 2 and 5pm and we’ll treat you to a free Starbucks Petite Pastry when you order any handcrafted beverage (while supplies last). 
Also - check in on Foursquare and enter a special contest! (details: http://foursquare.com/Starbucks)"
"2","Thank you for enjoying great coffee with us for 40 years!"
"3","It's (almost) been 40 years ... the fun begins tomorrow!"
"4","I don't care if Monday's blue
Tuesday's gray and Wednesday too
Thursday I don't care about you
It's Friday I'm in love
(name this song!)"
"5","The Pike Place Market is the original home for Starbucks and the inspiration for Pike Place Roast. See what it's like to be at the Market as it wakes up."
"6","Are you outside the US and want to hear about what's going on at Starbucks in your market? We have over 30 countries from around the world on Facebook. Check out our International Around the World page to find info on your local Starbucks!"
"7","What's Brewing ... for the weekend?"
"8","Happy Valentine's Day! This couple met each other at Starbucks, but they were Starbucks across the street. They might have met faster if they sent a Starbucks Card eGift? http://sbux.co/StarbucksCardeGift"
"9","Getting fancy on a Saturday with Flavored VIA. Mocha seems like the appropriate flavor for Valentine's Day weekend. Now, to find strawberries."
"10","Looking to give something special to your special someone on Valentine's day morning? Surprise them and buy their cup of coffee with Starbucks Card eGift (even preset for delivery on Valentines Day morning!). Flowers or a homecooked meal might be a good idea for the evening … but don't listen to us, it's just a suggestion ;-)"
"11","We're roasting coffee in our 9th floor roaster today. Smells amazing!
(see more photos like this - follow us on Instagram)"
"12","A lot goes into making your cup of coffee. We even make sure your coffee grows in perfect soil."
"13","Happy 7th Birthday Facebook!"
"14","Happy Chinese New Year! It's the year of the Rabbit!"
"15","Introducing the Starbucks VIA Promise. We're confident that you'll love VIA. However, if you don't, we will replace with a bag of House Blend on us. Go here to redeem: http://StarbucksVIA.com (US/Canada only)"
"16","Coffee grows on trees! 
(also, if you have Instagram, follow us for more photos!)"
"17","Today we are launching Starbucks Card eGift! It is the fastest and easiest way to send a Starbucks Card. Try it out!"
"18","The frontman for the Decemberists Colin Meloy, played us a song from their new album, ""The King is Dead"" (available at Starbucks). He also showed us his fancy new drum set. If you would like to see the entire interview, check it out here: http://youtu.be/mFCk9hIrI5A"
"19","It's National Coffee Break Day! At Starbucks, we call this ""Thursday""."
"20","You can now pay with your mobile phone at Starbucks in the US! Have you tried it yet, what did you think?"
"21",NA
"22","Pike Place Roast is the perfect cup, both smooth and balanced. Everyday it is just $1.50 for a tall! Plus it is a Shared Planet coffee made with 100% responsibly grown and ethically traded coffee beans.
http://sbux.co/PikePlaceRoast"
"23","Casi Cielo is back! It means 'almost heaven' in Spanish. Happy Friday! What's in your cup?
http://sbux.co/CasiCielo"
"24","Our first store opened in Pike Place Market in Seattle, WA almost 40 years ago. Since then we’ve grown in many ways--and now it’s time for our Siren to evolve with us. This won't be used until the spring, but we want to give you a first look. http://starbucks.com/preview"
"25",NA
