"","x"
"1","Love iced coffee? Join our experts as they discuss ways to get the best flavor out of this summertime favorite: http://sbux.co/1bso4Bk."
"2","Together we can make a difference. Visit your participating Starbucks store today through June 30th to make a donation to the Alberta Red Cross relief efforts."
"3","Stop and smell the¡K dahlias, caspia, daisies, mums, and hydrangeas. #strawsome"
"4","Fathers teach us courage. Dads teach us joy!"
"5","It's more than coffee to us."
"6","You're always closer to ""the waterfront"" than you think."
"7","Now Brewing: Join the experts from our Global Coffee Team, Major Cohen and Anthony Carroll, for a unique online coffee tasting of 3 Region Blend. Tuesday, June 11 at 10:00 AM PDT. http://sbux.co/16UuE41"
"8","Together we've been planting, painting, and pushing brooms. In fact we've logged over 400,000 hours of service in 2013. That's a great start to the year. Let's keep it going."
"9","The perfect cup starts with a double short barista. Happy Mother's Day. :)"
"10","A flawless cappuccino. Double short, extra-dry, crowned with foam, crafted with love."
"11","Happy to be here. #EarthDay http://pinterest.com/pin/25403185370818967/"
"12","Our first blend: House Blend. Our first store: Home."
"13","Join your neighbors and volunteer for Global Month of Service! http://sbux.co/16wQCGo"
"14","Our mocha is for chocolate lovers. Our rich mocha sauce. The sweet kiss of cocoa notes in our Espresso Roast."
"15","A coffee that is the rarest of the rare. When it arrived in Seattle, we had to see it for ourselves, commit it to our collective memory."
"16","April is Global Month of Service! We invite you to get involved: http://sbux.co/16jinAi"
"17","The perfect shot... sweet crema, full body and a warm heart"
"18","Steamed milk. The right temperature to add sweetness. The right density for espresso."
"19","277 ideas launched. One powerful community. MyStarbucksIdea.com is where you can share and vote on the things you want to see from us. http://sbux.co/ZKZwfo"
"20","Espresso is beautiful."
"21","Amazing artwork from Phil Hansen ¡Xwe're honored to be part of it. http://sbux.co/ZGYS4v"
"22","Mmmm"
"23","Plant a kiss. Watch it grow. #TWISI"
"24","Homemade Mocha Decadence featuring our new flavored coffee: http://sbux.co/13HqLNo"
"25","Layered with love: New Hazelnut Macchiato http://bit.ly/15vujk0"
"26","coffee creativity: http://sbux.co/XxnewL"
"27","The relentless pursuit of happiness. #coffeepassion"
"28","Heaven in a cup: http://sbux.co/YweF1X"
"29","Mugs & kisses."
"30","Have you tried our lighter, easy-drinking Blonde Roast? Have one on us -- look for us at the Philadelphia Home Show!"
"31","Snow Day?"
"32","Have you tried our lighter, easy-drinking Blonde Roast? Have one on us -- look for the mobile cafe at the Washington Auto Show!"
"33","Thank you @JLynnJacobs for sharing the Casi Cielo love - http://instagram.com/p/UyEtV2pb9n/"
"34","Learn it. Live it. Love it. #coffeepassport"
"35","Hey, New York! Have you tried our lighter, easy-drinking Blonde Roast? Have one on us -- look for the mobile cafe at the ice rink @ Rockefeller Center today 11 am - 5 pm."
"36","Where it all started. #coffeepassion"
"37","Hey, Boston! Have you tried our lighter, easy-drinking Blonde Roast? Have one on us -- look for us at the Frog Pond skating rink today from 11 am - 5 pm."
"38","Cada familia tiene su propia receta tradicional. La nuestra toma la forma de un latte."
"39","Every family has its own traditional recipe. Ours takes the form of a latte."
"40","Just another day at the office... nothing like the smell of freshly roasted coffee. #Blonderoast"
"41","Thanks for sharing the <3 @janellej1992 - http://instagram.com/p/TYhWwaME7w/"
"42","...and to all a good night!"
"43","Relax and enjoy the moment, we're almost there."
"44","Thank you for bringing us home <3, cheers @carlyheinlein - http://instagram.com/p/TTzqzfssTL/"
"45","Deck the halls, pin the boards. The holidays are here. We hope our new Pinterest holiday board inspires your holiday cheer. http://holidays.pinterest.com/#starbucks"
"46","One of our favorite feelings of the season :) thanks @meganmurren: http://instagram.com/p/StV-1nLVJc/"
"47","mmmm....holidays :) thank you @_hilarymak: http://instagram.com/p/SPA-k7I5l4/"
"48","Here's to you, @cberkhouse. Thank you :) http://instagram.com/p/RiRHaTLdS6/"
"49","So much to be thankful for."
"50","Who knew snowmen could be so stylish. Thanks @bepypy: http://instagram.com/p/Rtkoy0Qn4q/"
"51","Joyful for our new friendship with Amy #rekindle - http://instagram.com/p/RrebDwNBDv/"
"52","Coffee is our muse. http://sbux.co/SRHzKz"
"53","For coffee lovers only."
"54","Warm. (big) Cozy. Sweater."
"55","Happy 10th anniversary Starbucks Germany! To celebrate, you can get a tall Caffe Latte, Brewed Coffee, Cappuccino, Caramel Macchiato, Vanilla Latte or Caffe Mocha for only £á 1,50 before noon, everyday until October 28."
"56","Hey ladies, today is the final day to enter our ""It's Possible"" Pinterest Sweepstakes - you could win 1 of 400 Verismo Systems. What are you waiting for? http://sbux.co/Tc9UYu"
"57","He knows how to make her smile. #itsfallwhen"
"58","Today and every day! #NationalCoffeeDay"
"59","One more round."
"60","Fall or Autumn, we <3 it either way."
"61","Oh summer... thanks for the memories."
"62","What makes you happy? http://sbux.co/OxooFO"
"63","Ice cream is best when..."
"64","Ice cream anyone?"
"65","<3 Iced coffee!"
"66","Have you tried the new #StarbucksRefreshers yet?"
"67","On the eve of Independence Day we want you all to know that Starbucks proudly supports our men and women in the military, contrary to false rumors circulating on Facebook.  For more information please visit: http://bit.ly/M4BVjV"
"68","Come hang out with us.  We are talking with Maroon 5 now!!  http://www.starbucks.com/promo/hangin-with-maroon-5 "
"69","Enough said <3"
"70","The results are in - wow, you did so much! Thank you for volunteering in your communities around the world."
"71","Nothing like spending the weekend with family!"
"72","Recipes are best when shared. Enjoy!"
"73",NA
"74","Starbucks <3 Pinterest: http://pinterest.com/starbucks/"
"75","Simply amazing. Thanks Mom!"
"76","What a difference we can make! Thanks to the more than 700,000 people like you who worked with us locally to create an impact globally. With many hours of service and $4 million contributed* this year¡¦s Global Month of Service was a huge success. Check out projects from around the world. Let¡¦s keep the good going!"
"77","Doppio Espresso on the rocks anyone? Cheers!"
"78","Working together to clear a moat to make way for new habitats"
"79","Working together to clear a moat to make way for new habitats"
"80","Over 2,000 volunteers made local impact on a global scale! Check out Houston¡¦s Fifth Ward; Nashville¡¦s Urban Farm; The National Zoo in Washington, DC; Strathcona Community Centre in Vancouver; Moscow¡¦s Muzeon city garden; Boys & Girls Club in Phoenix; Casa do Zezinho in Sao Paulo; and Villa Hermosa community in Santiago."
"81","Disney Parks + Starbucks = a magical combination!  First store opening this June.  Another wish granted by My Starbucks Idea!"
"82","Nashville partners creating an irrigation system that will help keep the vegetable plants watered during growing season"
"83","Partners create a sea of green volunteer shirts throughout the community"
"84","A common theme repeated by participants was the idea of ¡§taking care of home"""
"85","Youth volunteers listen as Hands On Nashville leaders provide instructions to create the rain gardens"
"86","On April 17, 400 Beijing partners with their families, customers, and college students volunteered at one of the oldest communities in Beijing¡¦s Chaoyang District, Hujialou North, which is home to 3,000 families. Volunteers taught residents organic cultivation methods and promoted environmental awareness through creating gardens on residents¡¦ balconies, planting mini farms in the primary school and renovating facilities. "
"87","Unlucky latte? Maybe today..."
"88","Starbucks partners and customers helped to beautify parks in Denver; deconstructed abandoned homes and prepared for a new urban farm in Detroit; provided a makeover for an elementary school in Los Angeles and transformed a children¡¦s shelter in San Juan, Puerto Rico."
"89","Look what I just found - Happy Easter!"
